휴양림명,구분,지역,지자체,1월 일반예약 오픈일시(복수),2월 일반예약 오픈일시(복수),3월 일반예약 오픈일시(복수),4월 일반예약 오픈일시(복수),5월 일반예약 오픈일시(복수),6월 일반예약 오픈일시(복수),7월 일반예약 오픈일시(복수),8월 일반예약 오픈일시(복수),9월 일반예약 오픈일시(복수),10월 일반예약 오픈일시(복수),11월 일반예약 오픈일시(복수),12월 일반예약 오픈일시(복수)
유명산 자연휴양림,국립,서울인천경기,가평군,2025-01-04 09:00; 2025-01-10 16:00; 2025-01-15 09:00; 2025-01-22 09:00,2025-02-04 09:00; 2025-02-10 16:00; 2025-02-15 09:00; 2025-02-19 09:00,2025-03-04 09:00; 2025-03-10 16:00; 2025-03-15 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-04 09:00; 2025-04-10 16:00; 2025-04-15 09:00; 2025-04-16 09:00; 2025-04-23 09:00,2025-05-04 09:00; 2025-05-10 16:00; 2025-05-15 09:00; 2025-05-21 09:00,2025-06-04 09:00; 2025-06-09 09:00; 2025-06-10 16:00; 2025-06-15 09:00; 2025-06-16 18:00; 2025-06-17 10:00; 2025-06-19 10:00; 2025-06-26 10:00,2025-07-04 09:00; 2025-07-10 16:00; 2025-07-15 09:00; 2025-07-16 09:00; 2025-07-23 09:00,2025-08-04 09:00; 2025-08-10 16:00; 2025-08-15 09:00; 2025-08-20 09:00,2025-09-04 09:00; 2025-09-10 16:00; 2025-09-15 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-04 09:00; 2025-10-10 16:00; 2025-10-15 09:00; 2025-10-22 09:00,2025-11-04 09:00; 2025-11-10 16:00; 2025-11-15 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
아세안 자연휴양림,국립,서울인천경기,양주시,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
산음 자연휴양림,국립,서울인천경기,양평군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
중미산 자연휴양림,국립,서울인천경기,양평군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
무의도 자연휴양림,국립,서울인천경기,중구,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
운악산 자연휴양림,국립,서울인천경기,포천시,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
대관령 자연휴양림,국립,강원,강릉시,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
검봉산 자연휴양림,국립,강원,삼척시,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
미천골 자연휴양림,국립,강원,양양군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
백운산 자연휴양림,국립,강원,원주시,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
방태산 자연휴양림,국립,강원,인제군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
용대 자연휴양림,국립,강원,인제군,2025-01-01 09:00; 2025-01-08 09:00; 2025-01-15 09:00; 2025-01-22 09:00; 2025-01-29 09:00,2025-02-05 09:00; 2025-02-12 09:00; 2025-02-19 09:00; 2025-02-26 09:00,2025-03-05 09:00; 2025-03-12 09:00; 2025-03-19 09:00; 2025-03-26 09:00,2025-04-02 09:00; 2025-04-09 09:00; 2025-04-16 09:00; 2025-04-23 09:00; 2025-04-30 09:00,2025-05-07 09:00; 2025-05-14 09:00; 2025-05-21 09:00; 2025-05-28 09:00,2025-06-04 09:00; 2025-06-11 09:00; 2025-06-18 09:00; 2025-06-25 09:00,2025-07-02 09:00; 2025-07-09 09:00; 2025-07-16 09:00; 2025-07-23 09:00; 2025-07-30 09:00,2025-08-06 09:00; 2025-08-13 09:00; 2025-08-20 09:00; 2025-08-27 09:00,2025-09-03 09:00; 2025-09-10 09:00; 2025-09-17 09:00; 2025-09-24 09:00,2025-10-01 09:00; 2025-10-08 09:00; 2025-10-15 09:00; 2025-10-22 09:00; 2025-10-29 09:00,2025-11-05 09:00; 2025-11-12 09:00; 2025-11-19 09:00; 2025-11-26 09:00,
